"id","taxonID","acceptedNameUsageID","scientificName","acceptedNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","taxonRemarks","modified","language","license","rightsHolder","accessRights","datasetName","vernaculaNameEN","vernaculaNameFR","localities","Bryoquel_version"
541,541,541,"Funaria hygrometrica","Funaria hygrometrica Hedw.",,,,"|Musci|||Funariaceae|Funaria|hygrometrica|",,"Musci",,,"Funariaceae","Funaria","hygrometrica","","Espèce","Hedw.","Accepté","","2014-12-02",,,,,,"common cord moss","funaire charbonnière","Québec, Labrador",3.3
542,542,542,"Grimmia anodon","Grimmia anodon Bruch & Schimp.",,,,"|Musci|||Grimmiaceae|Grimmia|anodon|",,"Musci",,,"Grimmiaceae","Grimmia","anodon","","Espèce","Bruch & Schimp.","Accepté","","2014-12-02",,,,,,"toothless grimmia","grimmie édentée","Québec, Labrador",3.3
543,543,543,"Grimmia atrata","Grimmia atrata Miel. ex Hornsch.",,,,"|Musci|||Grimmiaceae|Grimmia|atrata|",,"Musci",,,"Grimmiaceae","Grimmia","atrata","","Espèce","Miel. ex Hornsch.","Accepté","","2014-12-02",,,,,,"copper grimmia","grimmie du cuivre","Québec, Labrador",3.3
544,544,544,"Grimmia crinitoleucophaea","Grimmia crinitoleucophaea Cardot",,,,"|Musci|||Grimmiaceae|Grimmia|crinitoleucophaea|",,"Musci",,,"Grimmiaceae","Grimmia","crinitoleucophaea","","Espèce","Cardot","Accepté","","2014-12-02",,,,,,"bow-stalked grimmia","grimmie ventripotente","Québec, Labrador",3.3
545,545,545,"Grimmia donniana","Grimmia donniana Sm.",,,,"|Musci|||Grimmiaceae|Grimmia|donniana|",,"Musci",,,"Grimmiaceae","Grimmia","donniana","","Espèce","Sm.","Accepté","","2014-12-02",,,,,,"Donn's grimmia","grimmie à capsule jaune","Québec, Labrador",3.3
546,546,546,"Grimmia elatior","Grimmia elatior Bruch ex Bals.-Criv. & De Not.",,,,"|Musci|||Grimmiaceae|Grimmia|elatior|",,"Musci",,,"Grimmiaceae","Grimmia","elatior","","Espèce","Bruch ex Bals.-Criv. & De Not.","Accepté","","2014-12-02",,,,,,"large grimmia","grimmie costaude","Labrador, Québec",3.3
547,547,547,"Grimmia elongata","Grimmia elongata Kaulf.",,,,"|Musci|||Grimmiaceae|Grimmia|elongata|",,"Musci",,,"Grimmiaceae","Grimmia","elongata","","Espèce","Kaulf.","Accepté","","2014-12-02",,,,,,"brown grimmia","grimmie élancée","Labrador, Québec",3.3
548,548,548,"Grimmia funalis","Grimmia funalis (Schwägr.) Bruch & Schimp.",,,,"|Musci|||Grimmiaceae|Grimmia|funalis|",,"Musci",,,"Grimmiaceae","Grimmia","funalis","","Espèce","(Schwägr.) Bruch & Schimp.","Accepté","","2014-12-02",,,,,,"string grimmia","grimmie tressée","Labrador, Québec",3.3
549,549,549,"Grimmia incurva","Grimmia incurva Schwägr.",,,,"|Musci|||Grimmiaceae|Grimmia|incurva|",,"Musci",,,"Grimmiaceae","Grimmia","incurva","","Espèce","Schwägr.","Accepté","","2014-12-02",,,,,,"black grimmia","grimmie noire","Québec, Labrador",3.3
551,551,551,"Grimmia longirostris","Grimmia longirostris Hook.",,,,"|Musci|||Grimmiaceae|Grimmia|longirostris|",,"Musci",,,"Grimmiaceae","Grimmia","longirostris","","Espèce","Hook.","Accepté","","2014-12-02",,,,,,"long-beaked grimmia","grimmie à long bec","Québec, Labrador",3.3
552,552,552,"Grimmia mollis","Grimmia mollis Bruch & Schimp.",,,,"|Musci|||Grimmiaceae|Grimmia|mollis|",,"Musci",,,"Grimmiaceae","Grimmia","mollis","","Espèce","Bruch & Schimp.","Accepté","","2014-12-02",,,,,,"water grimmia","grimmie à feuilles molles","Québec, Labrador",3.3
