id	locationID	locality	establishmentMeans
452	1090	Labrador	
453	1091	Labrador	
454	1092	Labrador	
455	1093	Labrador	
456	1094	Labrador	
458	1095	Labrador	
459	1096	Labrador	
462	1097	Labrador	
463	1098	Labrador	
464	1099	Labrador	
465	1100	Labrador	
467	1101	Labrador	
469	1102	Labrador	
470	1103	Labrador	
471	1104	Labrador	
472	1105	Labrador	
473	1106	Labrador	
475	1107	Labrador	
478	1108	Labrador	
479	1109	Labrador	
482	1110	Labrador	
483	1111	Labrador	
488	1112	Labrador	
489	1113	Labrador	
490	1114	Labrador	
492	1115	Labrador	
494	1116	Labrador	
495	1117	Labrador	
496	1118	Labrador	
500	1119	Labrador	
505	1120	Labrador	
506	1121	Labrador	
507	1122	Labrador	
508	1123	Labrador	
510	1124	Labrador	
511	1125	Labrador	
518	1126	Labrador	
520	1127	Labrador	
521	1128	Labrador	
529	1129	Labrador	
532	1130	Labrador	
533	1131	Labrador	
541	1132	Labrador	
543	1133	Labrador	
545	1134	Labrador	
549	1135	Labrador	
551	1136	Labrador	
552	1137	Labrador	
555	1138	Labrador	
557	1139	Labrador	
560	1140	Labrador	
562	1141	Labrador	
563	1142	Labrador	
565	1143	Labrador	
569	1144	Labrador	
573	1145	Labrador	
575	1146	Labrador	
576	1147	Labrador	
577	1148	Labrador	
578	1149	Labrador	
581	1150	Labrador	
582	1151	Labrador	
585	1152	Labrador	
587	1153	Labrador	
589	1154	Labrador	
590	1155	Labrador	
591	1156	Labrador	
593	1157	Labrador	
595	1158	Labrador	
597	1159	Labrador	
601	1160	Labrador	
602	1161	Labrador	
603	1162	Labrador	
607	1163	Labrador	
608	1164	Labrador	
609	1165	Labrador	
612	1166	Labrador	
613	1167	Labrador	
614	1168	Labrador	
615	1169	Labrador	
616	1170	Labrador	
617	1171	Labrador	
618	1172	Labrador	
619	1173	Labrador	
620	1174	Labrador	
621	1175	Labrador	
625	1176	Labrador	
626	1177	Labrador	
627	1178	Labrador	
636	1179	Labrador	
638	1180	Labrador	
641	1181	Labrador	
642	1182	Labrador	
644	1183	Labrador	
646	1184	Labrador	
647	1185	Labrador	
649	1186	Labrador	
650	1187	Labrador	
652	1188	Labrador	
653	1189	Labrador	
654	1190	Labrador	
655	1191	Labrador	
656	1192	Labrador	
657	1193	Labrador	
658	1194	Labrador	
659	1195	Labrador	
660	1196	Labrador	
661	1197	Labrador	
664	1198	Labrador	
665	1199	Labrador	
666	1200	Labrador	
667	1201	Labrador	
668	1202	Labrador	
673	1203	Labrador	
674	1204	Labrador	
675	1205	Labrador	
680	1206	Labrador	
681	1207	Labrador	
684	1208	Labrador	
694	1209	Labrador	
696	1210	Labrador	
702	1211	Labrador	
703	1212	Labrador	
705	1213	Labrador	
707	1214	Labrador	
708	1215	Labrador	
710	1216	Labrador	
711	1217	Labrador	
712	1218	Labrador	
713	1219	Labrador	
717	1220	Labrador	
719	1221	Labrador	
724	1222	Labrador	
725	1223	Labrador	
727	1224	Labrador	
728	1225	Labrador	
729	1226	Labrador	
730	1227	Labrador	
731	1228	Labrador	
732	1229	Labrador	
733	1230	Labrador	
734	1231	Labrador	
736	1232	Labrador	
737	1233	Labrador	
738	1234	Labrador	
740	1235	Labrador	
741	1236	Labrador	
742	1237	Labrador	
743	1238	Labrador	
744	1239	Labrador	
745	1240	Labrador	
748	1241	Labrador	
749	1242	Labrador	
751	1243	Labrador	
753	1244	Labrador	
754	1245	Labrador	
755	1246	Labrador	
757	1247	Labrador	
758	1248	Labrador	
760	1249	Labrador	
761	1250	Labrador	
762	1251	Labrador	
763	1252	Labrador	
764	1253	Labrador	
765	1254	Labrador	
767	1255	Labrador	
773	1256	Labrador	
774	1257	Labrador	
775	1258	Labrador	
777	1259	Labrador	
779	1260	Labrador	
783	1261	Labrador	
785	1262	Labrador	
786	1263	Labrador	
787	1264	Labrador	
788	1265	Labrador	
790	1266	Labrador	
793	1267	Labrador	
795	1268	Labrador	
797	1269	Labrador	
799	1270	Labrador	
801	1271	Labrador	
803	1272	Labrador	
805	1273	Labrador	
807	1274	Labrador	
809	1275	Labrador	
811	1276	Labrador	
812	1277	Labrador	
814	1278	Labrador	
816	1279	Labrador	
822	1280	Labrador	
823	1281	Labrador	
824	1282	Labrador	
825	1283	Labrador	
826	1284	Labrador	
827	1285	Labrador	
828	1286	Labrador	
830	1287	Labrador	
833	1288	Labrador	
834	1289	Labrador	
835	1290	Labrador	
836	1291	Labrador	
837	1292	Labrador	
840	1293	Labrador	
842	1294	Labrador	
845	1295	Labrador	
848	1296	Labrador	
851	1297	Labrador	
852	1298	Labrador	
859	1299	Labrador	
860	1300	Labrador	
861	1301	Labrador	
862	1302	Labrador	
865	1303	Labrador	
866	1304	Labrador	
867	1305	Labrador	
868	1306	Labrador	
869	1307	Labrador	
875	1308	Labrador	
878	1309	Labrador	
880	1310	Labrador	
883	1311	Labrador	
885	1312	Labrador	
890	1313	Labrador	
891	1314	Labrador	
896	1315	Labrador	
897	1316	Labrador	
899	1317	Labrador	
901	1318	Labrador	
902	1319	Labrador	
903	1320	Labrador	
904	1321	Labrador	
907	1322	Labrador	
908	1323	Labrador	
909	1324	Labrador	
910	1325	Labrador	
912	1326	Labrador	
913	1327	Labrador	
914	1328	Labrador	
920	1329	Labrador	
921	1330	Labrador	
923	1331	Labrador	
924	1332	Labrador	
925	1333	Labrador	
926	1334	Labrador	
927	1335	Labrador	
928	1336	Labrador	
930	1337	Labrador	
931	1338	Labrador	
933	1339	Labrador	
