id	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	license	rightsHolder	accessRights	datasetName
559	559	559	Grimmia teretinervis	Grimmia teretinervis Limpr.				|Musci|||Grimmiaceae|Grimmia|teretinervis|		Musci			Grimmiaceae	Grimmia	teretinervis		Espèce	Limpr.	Accepté		2014-12-02					
560	560	560	Grimmia torquata	Grimmia torquata Drumm.				|Musci|||Grimmiaceae|Grimmia|torquata|		Musci			Grimmiaceae	Grimmia	torquata		Espèce	Drumm.	Accepté		2014-12-02					
561	561	561	Grimmia trichophylla	Grimmia trichophylla Grev.				|Musci|||Grimmiaceae|Grimmia|trichophylla|		Musci			Grimmiaceae	Grimmia	trichophylla		Espèce	Grev.	Accepté		2014-12-02					
562	562	562	Grimmia unicolor	Grimmia unicolor Hook.				|Musci|||Grimmiaceae|Grimmia|unicolor|		Musci			Grimmiaceae	Grimmia	unicolor		Espèce	Hook.	Accepté		2014-12-02					
563	563	563	Gymnostomum aeruginosum	Gymnostomum aeruginosum Sm.				|Musci|||Pottiaceae|Gymnostomum|aeruginosum|		Musci			Pottiaceae	Gymnostomum	aeruginosum		Espèce	Sm.	Accepté		2014-12-02					
564	564	564	Gymnostomum boreale	Gymnostomum boreale Nyholm & Hedenäs				|Musci|||Pottiaceae|Gymnostomum|boreale|		Musci			Pottiaceae	Gymnostomum	boreale		Espèce	Nyholm & Hedenäs	Accepté		2014-12-02					
565	565	565	Hamatocaulis vernicosus	Hamatocaulis vernicosus (Mitt.) Hedenäs				|Musci|||Calliergonaceae|Hamatocaulis|vernicosus|		Musci			Calliergonaceae	Hamatocaulis	vernicosus		Espèce	(Mitt.) Hedenäs	Accepté		2014-12-02					
567	567	567	Haplocladium microphyllum	Haplocladium microphyllum (Hedw.) Broth.				|Musci|||Leskeaceae|Haplocladium|microphyllum|		Musci			Leskeaceae	Haplocladium	microphyllum		Espèce	(Hedw.) Broth.	Accepté		2014-12-02					
568	568	568	Haplohymenium triste	Haplohymenium triste (Ces.) Kindb.				|Musci|||Anomodontaceae |Haplohymenium|triste|		Musci			Anomodontaceae	Haplohymenium	triste		Espèce	(Ces.) Kindb.	Accepté		2014-12-02					
569	569	569	Hedwigia ciliata	Hedwigia ciliata (Hedw.) P. Beauv.				|Musci|||Hedwigiaceae|Hedwigia|ciliata|		Musci			Hedwigiaceae	Hedwigia	ciliata		Espèce	(Hedw.) P. Beauv.	Accepté		2014-12-02					
570	570	570	Helodium blandowii var. blandowii	Helodium blandowii (F. Weber & D. Mohr) Warnst. var. blandowii				|Musci|||Helodiaceae|Helodium|blandowii|blandowii		Musci			Helodiaceae	Helodium	blandowii	blandowii	Variété		Accepté		2014-12-02					
571	571	571	Helodium blandowii var. helodioides	Helodium blandowii (F. Weber & D. Mohr) Warnst. var. helodioides (Renauld & Cardot) H.A. Crum, Steere & L.E. Anderson				|Musci|||Helodiaceae|Helodium|blandowii|helodioides		Musci			Helodiaceae	Helodium	blandowii	helodioides	Variété	(Renauld & Cardot) H.A. Crum, Steere & L.E. Anderson	Accepté	Infraspecific Epithet Authorship : (Renauld & Cardot) H.A. Crum, Steere & L.E. Anderson	2014-12-02					
572	572	572	Helodium paludosum	Helodium paludosum (Austin) Broth.				|Musci|||Helodiaceae|Helodium|paludosum|		Musci			Helodiaceae	Helodium	paludosum		Espèce	(Austin) Broth.	Accepté		2014-12-02					
573	573	573	Hennediella heimii	Hennediella heimii (Hedw.) R.H. Zander				|Musci|||Pottiaceae|Hennediella|heimii|		Musci			Pottiaceae	Hennediella	heimii		Espèce	(Hedw.) R.H. Zander	Accepté		2014-12-02					
